Row Labels,Sum of value
Governor Punjab,55000
Admiral        Muhammad,55000
"Brig.   Nauman   Anwar,
Director,   Marketing    & Procurement, HIT",55000
"Capt. Ali Raza PN, DNOP",54600
"Mr.   Omer   Ayub   Khan,   Federal Minister for Economic Affairs",54000
"Mr.          Muhammad
Nawaz  Sharif,  Prime Minister of Pakistan",54000
"Major     Asad,     Security Officer to President",54000
"Mr.  Khurshid  M,  Kasuri, Foreign Minister",52100
"First  Lady  of  Pakistan, Wife   of   Mr.   Mamnoon Hussain",52000
"Begum     of     Admiral Muhammad   Zakaullah,
Chief of Naval Staff",52000
Wife     of     Brig.     Tahir Mahmud Malik,50000
"Zafarullah        khan
Jamali,           Prime Minister of Pakistan",50000
"Shahid   Ali   Sheikh, Guest     of     Prime
Minister,        Yousaf Raza Gillani",50000
"Syed      Ali      Musa Gillani, Son of Prime
Minister,        Yousaf Raza Gillani",50000
"Syed   Yousaf   Raza Gillani,            Prime Minister of Pakistan",50000
"Syed     Qutab     Ali Shah,    Nephew    of
Prime         Minister, Yousaf Raza Gillani",50000
"SAPM for National Health services    Regulation    &
Coordination",50000
"Mr.  Talib  Hussain, Protocol  Assistant,
Foreign Affairs",50000
"Mr.  Haroon  Elahi  Toor, Reporter",50000
Mr.  Sartaj  Aziz  Advisor of the Prime Minister on National   Security    and Foreign Affairs,50000
"Mr.   Tariq   Aslam, Protocol      Officer, President
Secretariat",50000
"Mr.     Tasawar     Khan,
Chief   of   Protocol,   CP M/o Foreign Affairs",50000
"Mr.   M.   Afzal   Tanvir, Engineer,             Prime
Minister   Media   Team (PTV)",50000
"Mr.   Amir   Ilyas   Rana,
Bureau   Chief   Express News",50000
"Mr.    M.    Ilyas    Khan, Reporter APP",50000
"Mr.    Imran    Hussain, Cameraman         Prime
Minister Media Team",50000
"Mr.     Omer     Ayub Khan,   Minister   for
Power Division",50000
"Mr.        Muhammad Naeem  Khan,  Guest of   Prime   Minister, Yousaf Raza Gillani",50000
"Mr.        M.        Zaheer, Cameraman, APP",50000
"Mr.         M.         Hanif, Photographer, PID",50000
"Mian  Amjad,  Guest of   Prime   Minister, Yousaf Raza Gillani",50000
"Lt.  Col.  Adnan  Khawar Dar, GHQ, Rwp.",50000
"Haji     Tora     Khan, Valet,             Prime Minister Secretariat",50000
"First lady of Pakistan, wife of Dr. Arif Alvi",50000
"Sajid Mehmood Qazi, Joint          Secretary (A/CA)",49500
"Shah  Mehmood  Hussain  Qureshi, Foreign Minister of Pakistan",49000
Foreign Secretary,48200
Brig.  Irfan  Azam  Military Secretary      to      Prime Minister,47000
"Mr.  Nazir  Hussain,  Chief  of Protocol, Foreign Affairs",46250
"General Saleem Hayat, NI
(M)  Vice  Chief  of  Army Staff",46000
"General                 Parvez
Musharraf,   President   of Pakistan",45850
"Syed              Yahya Manawar,     Political
Secretary    to    the Prime Minister",45000
"Shazia       Azam,       Lady
Constable,  Prime  Minister, Sectt",45000
"Sqn.    Ldr.    Malik     Jalal Farooq,     ADC     to     the
President of Pakistan",45000
"Ms.  Hina  Rabbani  Khar, Minister    of    State    for Foreign Affairs",45000
"Raja       Pervez       Ashraf, Secretary General PPPP",45000
"Mr. Shabbir Anwar, Press
Secretary      to      Prime Minister",45000
Prime   Minister   Mr. Imran Khan,45000
"Sardar           Usman
Ahmed             Khan
Buzdar,            Chief Minister of Punjab",45000
"Rukhsana   Parveen,   Lady Constable  Prime  Minister,
Sectt",45000
"Mr. Sabz Ali Khan, Security Staff to the President",45000
"Rai   Riaz   Hussain, Press   Secretary   to
the Prime Minister",45000
"Mr. Sartaj Aziz, Advisor to   the   Prime   Minister
on Foreign Affairs",45000
"Mr. Mushtaq Ahmed, Valet to President of Pakistan",45000
"Mr.  Gul  Zameen,  Secuirty Staff to the President",45000
"Mr.  Manzoor  Ali,  Cook  to President of Pakistan",45000
"Mr.  Saleem  Mandviwalla, Chairman BOI",45000
"Mr.  Zafar  Iqbal,  Security Staff to the President",45000
"Mr.  Azhar  hussain  Gulzar, Security    Staff    to    the President",45000
"Mr. Abdul Malik Abdullah,",45000
"Mr.  Sartaj  Aziz,  Adviser to  the  Prime  Minster  on National     Security     &
Foreign Affairs",45000
"Mr.  Faisal  Niaz  Tirmizi, DCP, Foreign Affairs",45000
"Mr.  Talat  Mahmood
UDC, Prime Minister Secretariat",45000
"Mr. Arif Mahmud, Director (Gulf    Region),    Foreign
Affairs",45000
"Mr.  Sartaj  Aziz,  Adviser to  the  Prime  Minster  on National     Security     & Foreign Affairs",45000
"Mr.    Muhammad    Sohail, Security    Staff    to    the President",45000
"Mr.   Muhammad   Aslam, Additional         Secretary (ME&A), Foreign Affairs",45000
"Mr.    Muhammad    Abdul Wahid   Khan,   Additional Press Secretary to Prime
Minister",45000
"Mr.    Imran    Mahmood, Chief  Security  Officer  to Prime  Minister,  (CSO  to PM)",45000
"Mr.   Naeem-ul-    Hasnain,
Protocol    Officer    to    the President of Pakistan",45000
"Mr.        Imtiaz        Kazi, Secretary   Petroleum   & Natural Resources",45000
"Mr.       Abdul       Razzak Dawood,  Advisor  to  the Prime       Minister       on Commerce & Investment",45000
"Mr.       Iftekhar       Aziz, Ambassador  of  Pakistan in Kuwait",45000
"Mr.      Sartaj      Aziz,
Advisor  to  the  Prime Minister",45000
"Mr.     Khail     Muhammad,",45000
"Mr.      Shafkat      Saeed,
Additional  Secretary,  M/o Foreign Affairs",45000
"Lt. Col. Imran Haider, DMS to President",45000
"Makhdoom     Shah Mehmood  Qureshi,
Foreign Minister",45000
"Constable  Miss.  Kalsoom Khan, Lady Gunman",45000
"Constable  Miss.  Shahzad Begum, Lady Gunman",45000
"Brig.    Raja    Samiullah, Personal    Physician    to Prime Minister",45000
"Begum   Ambreen   Tahira,
Wife  of  Military  Secretary to the Prime Minister",45000
"Aijaz             Ahmed Chaudhary, MNA",45000
"Brig.   Muhammad   Aamer,
Military      Secretary      to President of Pakistan",45000
"Begum  of  (Major  General,  Nadeem Taj, Military Secretary to President)",45000
"Capt.   (PN)   Amir   Saeed, DMS, to President",45000
"Col.      Salman      Saleem, Medical  Specialist   to   the President",45000
"Arif   Mehmood   Dir General M/o Foreign
Affairs",45000
"Dr.    Muhammad    Tariq    Hassan, Advisor to Finance Minister",44550
"Shah  Mehmood  Hussain
Qureshi, Foreign Minister of Pakistan",43000
"Mr.     Siraj     Saleem Shamsuddin,         Ex- Principal  Secretary  to
the Prime Minister",43000
"Mr.    Imran    Khan,",43000
"Maj.    Gen.    Azhar Mahmood,   personal physician   to   Prime
Minister",43000
"SP   Mahzoor   Ali   Ghauri,   Chief Security   Officer   to   the   Prime Minister",42000
"Federal   Minister   for Maritime        Affairs,",42000
"Rai   Riaz   Hussain, Press   Secretary   to the Prime Minister",40800
"Begum  Sahiba,  Wife  of
Mr. Shaukat Aziz, Prime Minister of Pakistan",40110
"Syed Abrar Hussain,",40000
"SP.      Rana      Shoaib Mehmood,        Security
Officer,  Prime  Minister Office",40000
"Shahid  Saleem  Khan Sr.              Reporter,
Associated   Press   of Pakistan, APP",40000
"Syed   Imran   Ali,   Air Crew",40000
Wg.  Cdr.  Adan  Rishi Pak/10646 GD (P),40000
"Sehabzada  Ahmed Khan, AS / Chief of State       Protocol,
MoFA",40000
Wife of Mr. Shahid,40000
Rear  Admiral  Shiffat  Ali  Khan  of Pak Navy,40000
"Mr. Musaddiq Kaleem, News   Reporter,   PTV News",40000
"Mr.  Junaid  Wazir, DCP, MoFA",40000
"Mr.  Sartaj  Aziz,  SAPM, Adviser to Prime Minister
on National Security and Foreign Affairs",40000
"Mr.  Adeel  Ahmed  Khan, Protocol  Officer  Ministry
of Foreign Affairs",40000
"Mr.  Salahuddin  Malik,
Chief      Cameraman, PTV",40000
"Mr. Imtiaz Ahmed, AS (AP), MoFA",40000
"Mr.   Shahzad   Hussain, Protocol Assistant",40000
"Mr.  Munir  Khan  Orakzai,
Parliamentary        leader, FATA",40000
"Mr.  Mian  Muhammad Shehbaz  Sharif,  Chief Minister, CM Punjab",40000
"Mr.  Farhan   Tanveer, Air Crew",40000
"Mr.     Yameen     Khan, Gunman",40000
"Mr.    Ahsan    Ahmed Bhatti, Air Crew",40000
"Mr.   Muhammad   Nawaz Sharif, Prime Minister of
Pakistan",40000
"Mr.    Abdullah    Farooq Wing Commodore, PAF",40000
"Mr.    Abdul    Shakoor, Gunman",40000
"Mr.    Javed    Akhtar, Controller News, PBC",40000
"Mr.     Riaz     Khokhar,     Secretary, Ministry of Foreign Affairs",40000
"Mr.    Muhammad    Asif, Protocol          Assistant,
Punjab House.",40000
"Mr.    Waqas    Latif Mughal,          ACP,
MoFA",40000
"Mr.   Abdul   Ghaffar,   TV Engineer",40000
"Mr.         Mohammad Sarwar,     Governor,
Punjab",40000
"Mr.      Zahid      Munir, Gunman",40000
"Mr.           Muhammad Tanveer, Air Crew `",40000
"Mr.      M.      Adeel Pervaiz,  DCP(P&I),
MoFA",40000
"Lt.      Col.      Ibrar Hussain,   DMS   to
President",40000
"Lt.   Gen.   Syed   Wajid
Hussain, Chairman, HIT",40000
"Maj.    General    Tasawar Hussain,             Personal
physician to the President",40000
"Lt   Col.   Babar   Mumtaz,
additional  Chief  Security Officer President",40000
"Mian  Muhammad  Shehbaz  Sharif,",40000
"Dr.  Aamer  Liaqat  Hussain, Minister for Religious Affairs",40000
"Col.   (R)   Syed   Anwar Saeed,               General Manager, (Supply). PSO",40000
"Foreign        Minister
Shah         Mahmood Qureshi",40000
"First       Lady       of Pakistan, wife of Dr.
Arif Alvi",40000
Advisor  to  the  Prime  Minister  on Commerce & Investment,40000
"Cdr. Imran  Javed, ADC
(N)     to     the     Prime Minister",40000
"Begum     of     Admiral
Muhammad   Zakaullah, Chief of Naval Staff",40000
"Air Chief Marshal, PAF",40000
"Col.    ®    Salik    Nawaz, Deputy    Chief    Protocol,",40000
"Col.    Muhammad    Ilyas,
Chief  Security  Officer  to President",40000
"Ms.     Shaza     Fatima     Khawaja, Special   Assistant   to   the   Prime Minister on youth affairs",39000
"Mr.      Sartaj      Aziz, Advisor  to  the  Prime Minister",39000
"Brig.    Muhammad    Ahmad,    Ex- Military   Secretary   to   the   Prime Minister",39000
"Mr. Muhammad Ishaq Dar, Finance Minister",38500
Speaker           National Assembly,38000
Maj.  Gen.  Ali  Abbas Haider DG (MT),38000
"Mr.  Asif  Ali  Zardari, President              of
Pakistan",37000
"Mian     Raza     Rabbani,
Chairman Senate",37000
"Foreign   Minister   of Pakistan,          Shah
Mehmood Qureshi",37000
"Begum  Sahiba,  Wife  of Mr. Shaukat Aziz, Prime
Minister of Pakistan",36215
"General         Parvez Musharraf, President
of Pakistan",36100
"Mr.  Tahir  Rafiq  Butt,",36000
"Secretary, Petroleum Division",35000
"SP  Akhtar  Farooq, Security     Officer, Prime        Minister
Secretariat",35000
"Mrs.   Sumbul   Nazir, Wife   of   EX-   MS   to Prime Minister",35000
"Mr. Shuja Shah, Principal Secretary   to   the   Prime
Minister",35000
"Mrs.      Adnan      A. Khawaja,",35000
"Presented  to  First Lady   wife   of   Dr.
Arif Alvi",35000
Rear  Admiral  Faisal Lodhi      HI(M)      of Pakistan Navy,35000
"Mr.  Muhammad  Zubair, Member Finance, HIT",35000
Mr.  Muhammad  OSD  to Prime Minister,35000
"Mr.  Abdul  Sattar, Gunman,      Prime Minister
Secretariat",35000
"Mr.  Sartaj  Aziz,  Advisor
to     PM     on     National Security",35000
"Mr.  Tariq  Aslam,  Protocol Officer (Gift)",35000
"Mr.  Mansoor  Ahmed  Khan, Comptroller",35000
"Mr.     Tariq     Azizuddin, Former        Chief        of
Protocol,     Ministry     of Foreign Affairs",35000
"Mr.   Hidayatullah   Abro, Cameraman, APP",35000
"Mr.   Mirza   Muazzam   Ali, Protocol Assistant",35000
Mr.    Farooq    H.    Naek Chairman Senate,35000
"Mr.    Rafaqat    Hussain, Engineer PTV",35000
"Mr.             Saghir,
Gunman,      Prime Minister Secretariat",35000
"Mr.         Saifullah, Protocol  Assistant, President
Secretariat",35000
"Mr.      Rehman      Malik, Former Interior Minister",35000
"Mr.        Abdul        Rauf, Cameraman, PTV",35000
"Mr.      Jalees      Ahmed Siddiqui,         Managing",35000
"Minister     for     SAFFRON,     Mr. Muhammad Talha Mahmood",35000
Mian            Muhammad Shahbaz    Sharif    Chief Minister of Punjab,35000
"Lt.     Cdr.     Fahad Usman     Khattak, ADC,       President
Secretariat",35000
"Lt. Gen. (R) Abdul Qadir Baloch      Minister      of
SAFRON",35000
"Maj. Zafar Iqbal, MTO",35000
"Lt Cdr. Ahmed Farooq Butt, ADC to the Prime Minister",35000
"Malik     Abdur     Rashid, Photographer, PID",35000
"Const.  Raziq  Mehmood, Gunman",35000
"Constable,     Muhammad Saghir, Gunman",35000
"Foreign         Minister
Shah            Hussain Mehmood Qureshi",35000
"Constable            Naveed Anwar, Gunman",35000
"Admiral        Muhammad Zakaullah,  Chief  of  the Naval Staff Pakistan",35000
"Col   (R)   Aqeel   Ahmed, Secretary, HIT Board",35000
"Mr. Zafar Mahmood, Cabinet Secretary",33000
"Mr.   Ali   Haider   Altaf,   Chief   of protocol",33000
"Mr.    Muneeb    Ahmed,    Director (CPEC) MOFA",33000
"Mr.   Bilal   Akram   Shah,   Director (China) MOFA",33000
"Chairman   HIT   Board, Taxila",33000
"Begum     of     Prime Minister,               Mr.
Muhammad      Nawaz Sharif,",32580
"Shah      Mehmood Qureshi,     Foreign
Minister",32000
"Mr.   Sher   Afgan   Khan,   Additional Secretary    (ME&A),    Ministry    of Foreign Affairs",32000
"Mr.         Mohsin         Ali, photographer, PID",32000
Assistant Director Protocol,32000
"Begum               Admiral
Muhammad    Zakaullah, Naval Chief",32000
"Mr.  S.  Anwar  Mahmood,  Secretary, Information and Media Development",31000
"Sep. Arshad Alam, Gunman (BS-05)",30000
"Syed Yousaf Raza Gillani, Prime       Minister       of
Pakistan",30000
"Sqn.  Ldr.  Anwar  Karim,",30000
"Sep.   Shahid   Ibrar   SSG Gunaman,  Prime  Minister
Sectt.",30000
"Mr. Riaz H. Khokhar, Prime Minister’s Special Envoy for Inter-Civilizational Relations during  Prime  Minister  visit
to Kingdom Of Saudi Arabia & Yemen",30000
"NK  Tariq  Mahmood,  Gunman  (BS- 09)",30000
"Mr. S. Iqtidar Hussain Kausar, Chief Cameraman, PTV",30000
"Rear          Admiral
Muhammad Shafique, HI(M)",30000
"Muhammad  Saeed  Khan,
Deputy  Chief  of  Protocol, Foreign Affairs",30000
"Pakistan   Navy   Officer, Cdre    Azhar    Mehmood SI(M),
during    visit    to    royal
Saudi   Naval   forces   to Pakistan",30000
"Mr. Muhammad Tariq, Photographer, PID",30000
"Mr. Rashid Ali Khan, Chief Reporter, APP, Karachi",30000
"NK  Ghulam  Akbar,  SSG Gunman, P.M. Sectt.",30000
"Mr.  Sartaj  Aziz,  SAPM,",30000
"Mr.  Ikramullah  Mehsud,
Additional        Secretary, Foreign Affairs",30000
"Mr.  Zahoor  Ahmed,  Gunman,  (BS- 05)",30000
"Mr. Anwar Saeed, Controller, (News) CNO, PBC, Islamabad",30000
"Mr.    Nadeem    Dar,    DG, National   Security   Council, NSC",30000
"Mr.    Riaz    H.    Khokhar, Foreign Secretary",30000
"Mr.   Muhammad   Kamil,   Controller Engineering (PTV)",30000
"Mr.   Naeem   Akhtar,Air Cdr. Officer of PAF",30000
"Mr.    Imran    Khan, Prime    Minister    of",30000
"Mr.    Sami    Saeed,    Press Secretary    to    the    Prime Minister",30000
"Mr.   Javed   Akhtar,   Press Secretary    to    the    Prime
Minister",30000
"Mr.   Hasnain   Jaffar
Bilgrami,   Controller News, PTC",30000
"Mr.         M.         Akram, Caretaker, Punjab House",30000
"Mr.        Jawed        Akhtar, Additional    Secretary    to, Prime Minister.",30000
"Mr.      Zamir      Akram, Additional        Secretary (FSA),   Prime    Minister
Sectt.",30000
"Mr.        Javed        Hafiz, Additional  Secretary,  M/o Foreign Affairs",30000
"Mr.       Janbaz       Khan, Deputy Chief of Protocol
(V-I),      M/o      Foreign Affairs",30000
"Mr.      Afzal      Latif, Secretary Industries",30000
"Mr.     Ghalib     Iqbal, Chief     of     Protocol
Foreign Affairs,",30000
"Mr.      Haroon      Rashid, Cameraman APP",30000
"Lt.  Col.  Nadeem  Ahmed Khan, PA-32549 GHQ",30000
"Malik     Qamar     Abbas Khan,  DCP  M/o  Foreign
Affairs",30000
"L/NK    Daud-ur-Rehman,    Gunman (BS-07)",30000
"General Parvez Musharraf, President of Pakistan",30000
"Haji Rahmatullah Kakar,
Former     Minister     for Housing & Works",30000
"District            Coordination Officer, Bahawalpur",30000
"Dr.   Asim   Hussain, Chairman,        NRB/
Advisor    to    Prime Minister",30000
"Hav. Hakim Badshah, Gunman",30000
"Dr.        Arif        Alvi, President of Pakistan
and   First   Lady   of Pakistan",30000
"Col.  Salik  Nawaz,  DCVP, Foreign Affairs",30000
District Nazim Bahawalpur,30000
"Brig.      Irfan      Azam, Military Secretary to the Prime Minister MS to the
Prime Minister",30000
"Brig.    Azhar    Mahmood,
Personal  Physician  to  the Prime Minister",30000
Capt. Ahmed Hasnain Ali PA No.44663 GHQ,30000
Arif   Mehmood   Dir General M/o Foreign Affairs,29500
"Mr.  Afzal  Mehmood, Ambassador           of Pakistan Bahrain",29000
"Minister  for  Energy, Mr. Omer Ayub",29000
"First        Lady        of Pakistan,  wife  of  Mr.
Mamnoon Hussain",28600
Speaker        National Assembly of Pakistan,28500
"Mr.  Asif  Ali  Zardari,
President              of Pakistan",28500
"Gen   Pervaiz   Musharraf, President of Pakistan",28200
"Mr. Farooq H. Naek, Chairman Senate",28100
"Syed Yousaf Raza Gillani, Prime       Minister       of Pakistan,",28000
"SAPM      on      National Security,     Dr.     Moeed
Yusuf",28000
"Mr.  Muhammad  Nawaz Sharif,   Prime   Minister
of Pakistan",27500
"Dr.  Abdul  Hafeez  Shaikh, Finance Minister",27500
"Rana   Akbar   Hayat, PSO       to       Prime
Minister",27000
"Maj.  Gen.  Ali  Abbas Haider   HI(M),   S   Bt DGMT   and  Offrs   ex MT Dte",27000
"Foreign   Minister   of
Pakistan,          Shah Mehmood Qureshi",27000
"Brig         Muhammad Ahmad,         Military
Secretary   to   Prime Minister",27000
"Mr.   Muhammad   Nasser Khan  Mengal,  Minister  of State   for   petroleum   &
Natural Resources",26600
Engr.      Amir      Mauqam Minister    of    State    for Water and Power,26600
Mrs.  Shaukat  Aziz  wife  of  Finance Minister,26400
"Senator Farhatullah Babar, Spokesperson",26000
"Syed Yousaf Raza Gilani, Prime       Minister       of Pakistan",26000
"Mr.  Salman  Faruqi,  Secy. Gen. (P)",26000
"Foreign   Secretary,   Mr. Sohail Mahmood",26000
"Dr. Asim Hussain
Minister  for  Petroleum  & Natural Resources",26000
"Brig.    Syed    Muhammad Adnan MS to the President,",26000
"Director
Marketing,       HIT Taxila",25900
"Dr Abdul Hafeez Sheikh, Minister for privatization",25700
"Mr.  Khurshid  M.  Kasuri, Minister      for      Foreign Affairs",25600
"Daughter President of
Pakistan,              Mr. Mamnoon Hussain",25500
First       Lady       of,25280
"Mr.  Talat  Mahmood UDC, Prime Minister
Secretariat",25228
"Sep.   M.   Habib   Sultan, Gunman",25000
"Sep.             Farmanullah, Gunman",25000
Spouse       of       Cabinet Secretary,25000
"Sep.      Sajid      Hussain, Gunman",25000
"Mr. Sohail Ali Khan, DPR",25000
"Mr. Mushtaq Ahmed, Valet",25000
"Mr. Zafar Mehmood, Secretary Petroleum",25000
"Prime   Minister   of Pakistan Mr. Imran
Khan",25000
"Muhammad  Saeed  Khan,
Deputy  Chief  of  Protocol (V-I), Foreign Affairs",25000
"Muhammad    Amjad Aziz   Qazi,   Deputy Chief    of    Protocol, DCP     Ministry     of
Foreign Affairs",25000
"Mr. M. Younas Khan, Cameraman, PTV",25000
"Mr.  Murad  Ashraf, Chief     of     State
Protocol",25000
"Mr.    Inam    ul    Haque, Foreign Minister",25000
Mr.    Pervaiz    Musharraf President of Pakistan,25000
"Mr.     Sher     Afgan Khan,       Additional Secretary,    Foreign
Affairs",25000
"Mr.     Tasawar     Khan, Chief  of  Protocol,  M/o Foreign Affairs",25000
"Mr.        Muhammad
Aziz,   Photographer, PID",25000
"Mr.         Muhammad
Saad            Ahmed, Assistant      Director
(FMO),   Ministry   of Foreign Affairs",25000
"Mr Ammar Amin,
Deputy     Chief     of Protocol",25000
"Mr.      Ali      Arshad Hakeeem,  Chairman NADRA",25000
"Makhdoom     Shah
Mehmood  Qureshi, Foreign Minister",25000
"Mian  Mohammad  Soomro,
Caretaker Prime Minister of Pakistan",25000
Lt.   Col.   Baber   Mumtaz CSO to President,25000
"Mian            Muhammad Shehbaz   Sharif,   Chief
Minister of Punjab",25000
"Maj Sher Ali Baz, Security Officer",25000
"Makhdoom              Shah
Mahmood           Qureshi, Minister     for     Foreign
Affairs",25000
Hav. Sabz Ali Khan,25000
"Dr. Abdul Hafeez Shaikh, Minister Finance,",25000
"Hav.   Muhammad   Jamil, Gunman",25000
"Foreign     Secretary, Ms. Tehmina Janjua",25000
"Ch.     Ahmad     Mukhtar, Federal     Minister      for Defence",25000
"Brig.    Nazir    Ahmed
Butt,  Ex-MS  to  Prime Minister",25000
"Capt ® Khalid Sultan, Ex-PSO     to     Prime Minister",25000
"Brig.      Tahir      Mahmud Malik,  Military  Secretary",25000
"Admiral   ®   Abdul   Aziz Mirza,    Ambassador    of
Pakistan in Saudi Arabia",25000
"Begum              Prime Minister,  wife  of  Mr. Muhammad      Nawaz Sharif, Prime Minister
of Pakistan",25000
"Mian   Raza   Rabbani, Chairman Senate",24500
"Syed Ahsan Raza, Deputy
Chief  of  Protocol,  Prime Minister Sectt.",24000
"Syed  Kaleem  Imam  CSO to   Prime   Minister,   Chief Security  Officer  to  Prime
Minister",24000
"Rao      Sadiq      Ali, Reporter PBC",24000
"Mr.  Salman  Bashir, Foreign Secretary",24000
"Mr.     Qasim     Raza Muttaqi,       Director
General       (NASA), M/o Foreign Affairs",24000
"First    lady    and    Gen Parvez            Musharaf,
President of Pakistan",24000
"H/constable Pervaiz Khan,
P.M Sectt.",24000
Chairman ERRA,23565
"Mian   Abdus   Sattar Laleka,  Minister  for
Labour, Manpower & Overseas Pakistanis",23200
PA-33733 Lt Col Abid,23000
"Begum Sahiba, Wife of
Mr. Shaukat Aziz, Prime Minister of Pakistan",23000
"Begum   Sahiba,   Wife   of
Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",22700
"Mr. M. Iftikhar Anjum, DCP, Foreign Affairs",22500
"Mr.    Asif    Ali    Zardari,",22500
"Mr.      Jahangir      Khan, Minister  for  Industries  & Production",22500
"Mr.  Abdul  Sattar,  Minister  for  Foreign Affairs",22350
"Sqn  Ldr  Shahzad  Fatah, ADC to Prime Minister",22000
"Syed    Yousaf    Raza Gillani, Prime Minister",22000
"Wing  Cdr.  Waqar  Ahmed, DMS to Prime Minister",22000
"Mr.  Sartaj  Aziz,  Advisor to the Prime Minister",22000
Mr. Javed Sadiq Malik PS to Prime Minister,22000
"Mr. M. Aqeel Ashraf Rana, LDC P.M Sectt.",22000
Mr.   Faisal   Nisar   Liaison Officer to Prime Minister,22000
"Mr.            Khurshid Mahmood      Kasuri, Foreign Minister",22000
"Mr.             Mamnoon Hussain  President  of
Pakistan",22000
"Constable  M.  Amir  Khan, Gunman,   Prime   Minister",22000
"Brig.                      M.
Iqbal,DMT,SBT",22000
"Capt.     Tahira     Mubarik, Lady    Nursing    Assistant
Prime Minister Sectt.",22000
"Begum  General  Parvez  Musharraf, President/     Chief     Executive     of Pakistan",22000
"Mr.      Nawid      Ahsan, Secretary          General, Finance",21400
Senator    Syeda    Sughra Hussain Imam,21000
"Lt.  Gen.  Hamid  Javed, Chief   of   Staff   to   the
President,",21000
"Mian Mohammad Soomro, Caretaker  Prime  Minister of   Pakistan   and   Begum
Sahiba",21000
"Begum   Sahiba,   wife   of Mr.  Shaukat  Aziz,  Prime
Minister of Pakistan",20400
"Mr.   Moin-ul-Haq,   Chief of  Protocol,  Ministry  of
Foreign Affairs",20100
"SP Asad Hassan Alvi, Chief
Security    Officer    to    the Prime Minister",20000
"Sqd.     Ldr.     M.     Bilal Jadoon,   Pak/11723   of
APF PAC Kamra",20000
"Shahid       Ali       Seehar, Protocol    Officer    (V-I),
Foreign Affairs",20000
Syed    Ali    Adnan    Rizvi Photographer PID,20000
"Mr. Muhammad Ahsan Raja,          Additional Secretary,  Ministry  of
Interior",20000
"Mrs. Fouzia M. Sana, Additional       Secretary,
Foreign Affairs",20000
"Presented          to Director  Marketing &      Procurement, HIT.",20000
"Mr. Sartaj Aziz, Advisor
to   the   Prime   Minister on Foreign Affairs",20000
"Mr. Sartaj Aziz, Advisor
to the Prime Minister on Foreign Affairs",20000
SAPM     on     Social Petroleum & Poverty Alleviation,20000
"Prof.      Dr.      Javed Ashraf,                Vice
Chancellor,   Quaid-e- Azam University",20000
"Ms.  Hina  Rabbani  Khar,
Foreign      Minister      of Pakistan",20000
"Mr. Sartaj Aziz, Advisor to PM on Foreign Affairs",20000
"Mr.  Asif  Ali  Zardari,  Ex- President of Pakistan",20000
"Mr.  Babar  Khan  Ghauri, Federal Minister  for  Ports and Shipping",20000
"Mr.  Sajjad  Kamran,  DG (Afghanistan)                / Additional Secretary (AP)
Ministry of Foreign Affairs",20000
"Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  for  Food, Agriculture & Livestock",20000
"Mr.  M.  Khan,  PAF  Wg Cadre Faisal Fazal",20000
"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs,",20000
"Mr.   Saleem   Mandviwalla,
Minister of state, Chairman Board of Investment",20000
"Mr.   Shaukat   Aziz,   Prime Minister of Pakistan
Begum Sahiba",20000
"Mr.    M.    Naeem    Khan, Ambassador of Pakistan",20000
"Mr.   Abbas   Khan   Afridi
Former Minister of State Commerce",20000
"Mr.    Jalil    Abbas    Jillani, Foreign Secretary",20000
"Mr.   Rafaqat   Hussain   TV Engineer, PTV World",20000
Mr.    Jalil    Abbas    Jillani Foreign Secretary,20000
"Mr.     Omar     Ayub
Khan,   Minister   for Energy",20000
"Mr.    Jalil    Abbas    Jilani, Foreign Secretary",20000
"Mr.     Zaheer     Abbasi, Reporter           Business recorder",20000
"Mr.   Imran   Khan, Prime   Minister   of
Pakistan",20000
"Mr.      Sartaj      Aziz, Advisor    to    PM    on Foreign Affairs",20000
"Mr.      Shafkat      Saeed, Additional          Secretary (Foreign Affairs)",20000
"Mr.          Muhammad Najeeb Ullah, Section Officer,          Cabinet Division",20000
"Mr.     Muhammad     Junaid Khan, UDC, President Sectt.",20000
"Mr.             Shoaib
Mubarak,       DCP, MoFA, Karachi",20000
"Lt.    Gen.    Muhammad Zaheer Ul Islam, DG ISI",20000
"Kh.     Zaheer     Ahmed, SAPM",20000
"Lt.    Col.    Noman    Aziz Directorate General, ISI",20000
"Lt.  Col.  Syed  Muhammad
Adnan,     DMS     to     the President",20000
"Maj.       Gen.       Ishfaq Nadeem    Ahmed,    DG, Military operations, GHQ",20000
"Inspector     Shujjat     Ali Babar     Gunman,     P.M.
Sectt.",20000
Major Faisal Nawaz ADC to the Prime Minister,20000
"Dr.        Ajmal        Niazi, Reporter    Daily    Nawai Waqt",20000
"Dr.      Fahmida      Mirza,
Speaker,            National Assembly",20000
"Dr.      Arif      Alvi,",20000
"Ch.     Nouraiz     Shakoor
Khan, Minister for Science & Technology",20000
"Cdr.  Amir  Saeed,  ADC  to President",20000
"Brig.    Tahir    Ali    Malik, Military   Secretary  to   the
Prime Minister",20000
"Mr.    Nawid    Ahsan Secretary, Finance",19785
Minister   for   Petroleum   &   Natural Resources,19650
Sep.   Irshad   Khan   SSG President Secretariat,19500
