"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value",,,,"Retention
cost",retention_cost,,,Remarks,,,
18,One Carpet,"Ms.  Hina  Rabbani  Khar,
Foreign      Minister      of Pakistan",02/05/2013,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
21,One Carpet,"Mr.   Abbas   Khan   Afridi
Former Minister of State Commerce",25/06/2013,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
14,One     W/Watch     (Luminox) (Carbon Case Series 8830),"Lt.      Col.      Ibrar Hussain,   DMS   to
President",14/02/2018,"Rs.40,000/-","40,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
44,One Silver Tray,"Mr.  Junaid  Wazir, DCP, MoFA",09/04/2018,"Rs.40,000/-","40,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
77,One silver tray (Medium),"Mr. Imtiaz Ahmed, AS (AP), MoFA",16/05/2018,"Rs.40,000/-","40,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
35,One                Ceramic Decoration Piece,"Mian     Raza     Rabbani, Chairman Senate",07/04/2017,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
119,One Souvenir,"Mr. Sartaj Aziz, Advisor to PM on Foreign Affairs",06/09/2016,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
134,One             Painting/ decoration frame,Chairman Senate,16/11/2015,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
43,Mobile Phone (Huawei G610),"Sqd.     Ldr.     M.     Bilal Jadoon,   Pak/11723   of
APF PAC Kamra",22/04/2014,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
3,One Carpet,"Lt.    Gen.    Muhammad Zaheer Ul Islam, DG ISI",11/02/2013,"Rs. 20,000/-","20,000",,,"Rs. 2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
5,One Carpet,"Raja Pervez Ashraf, Prime       Minister       of
Pakistan",20/02/2013,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
31,One carpet,"Mrs. Fouzia M. Sana, Additional       Secretary,
Foreign Affairs",23/09/2013,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
43,One Silver Tray,"Sehabzada  Ahmed Khan, AS / Chief of State       Protocol,
MoFA",05/04/2018,"Rs.40,000/-","40,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
74,One Silver Tray,"Mr.    Waqas    Latif Mughal,          ACP,
MoFA",03/05/2018,"Rs.40,000/-","40,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
85,One Carpet,"President           of
Pakistan,          Mr. Mamnoon Hussain",02/07/2018,"Rs.40,000/-","40,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
21,One                W/watch (Precious),"Dr.        Ajmal        Niazi, Reporter    Daily    Nawai Waqt",22/03/2017,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
54,"One   Gents   W/Watch (Seiko, Lord)","Admiral        Muhammad Zakaullah,  Chief  of  the
Naval Staff Pakistan",17/07/2017,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
138,"One  Digital  Cameral (Canon  Power  Shot) (SX610     HS)     (18
Optical Zoom) (16Gb Memory Card, CD)","Mr.          Muhammad Najeeb Ullah, Section Officer,          Cabinet Division",17/11/2015,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
142,One painting,"Mr.      Sartaj      Aziz, Advisor    to    PM    on Foreign Affairs",20/11/2015,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
174,One Painting,"Prof.      Dr.      Javed Ashraf,                Vice
Chancellor,   Quaid-e- Azam University",21/12/2015,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
13,One    wrist    watch (Precious),"Mr.     Zaheer     Abbasi, Reporter           Business recorder",18/04/2013,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
28,Mobile set Samsung Galaxy Fame,"Mr.  M.  Khan,  PAF  Wg Cadre Faisal Fazal",23/08/2013,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
51,"(a)One     decoration piece.
(b) One Holy Quran","Mr.  Muhammad   Nawaz Sharif, Prime Minister of Pakistan",12/11/2013,"(a) Rs.20,000/-
(b) NCV","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
62,"One   Carpet/   woolen
prayer   mat   (Afghan made)","Mr.    Jalil    Abbas    Jilani, Foreign Secretary",01/08/2012,"Rs. 20,000/-","20,000",,,Rs. 2000/-,2000.00,-,,"Amount deposited, gift retained",,,
63,One   Carpet   (Afghan made),"Brig.    Tahir    Ali    Malik, Military   Secretary  to   the
Prime Minister",01/08/2012,"Rs. 20,000/-","20,000",,,Rs. 2000/-,2000.00,-,,"Amount deposited, gift retained",,,
64,One   Carpet   (Afghan made),"SP Asad Hassan Alvi, Chief
Security    Officer    to    the Prime Minister",01/08/2012,"Rs. 20,000/-","20,000",,,Rs. 2000/-,2000.00,-,,"Amount deposited, gift retained",,,
65,One   Carpet   (Afghan made),Major Faisal Nawaz ADC to the Prime Minister,01/08/2012,"Rs. 20,000/-","20,000",,,Rs. 2000/-,2000.00,-,,"Amount deposited, gift retained",,,
72,Wrist watch (Sea-Gull),"Mr.   Saleem   Mandviwalla,
Minister of state, Chairman Board of Investment",11/09/2012,"Rs. 20,000/-","20,000",,,Rs. 2000/-,2000.00,-,,"Amount deposited, gift retained",,,
74,One Carpet,"Raja  Pervez  Ashraf,  Prime Minister of Pakistan",24/09/2012,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
112,"One      Wrist      watch (Makkah            Time)
(Germany)","Mr.    M.    Naeem    Khan, Ambassador of Pakistan",16/11/2012,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
134,One   Carpet   (Afghan Made),"Raja  Pervez  Ashraf,  Prime Minister of Pakistan",23/11/2012,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
135,Wrist Watch Seagull,"Mr.    Jalil    Abbas    Jillani, Foreign Secretary",11/12/2012,"Rs. 20,000/-","20,000",,,"Rs. 2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
139,Wrist  watch  (Makkah Time),Mr.    Jalil    Abbas    Jillani Foreign Secretary,28/12/2012,"Rs.20,000/-","20,000",,,"Rs.2,000/-",2000.00,-,,"Amount deposited, gift retained",,,
48,"(a)   Two   Decoration pieces           (Marble ceramic)
(b) One small tea set (having two tea cups and   one   small   tea
pot)","Syed   Tariq   Fatemi, SAPM",04/05/2015,"(a)Rs.17,000/-
(b)Rs.3000/-","17,000",,,Rs.2000/-,2000.00,-,,"Amount deposited, gift retained",,,
264,Mobile    set    Nokia (7260),"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",22/10/2004,"Rs.23,000/-","23,000",,,"Rs.1,950/-",1950.00,-,,"Amount deposited, gift retained",,,
127,One Decoration piece,"Mr. Shaukat Aziz, Prime Minister of Pakistan",21/04/2006,"Rs.23,000/-","23,000",,,"Rs.1,950/-",1950.00,-,,"Amount deposited, gift retained",,,
199,"a.  One carpet
b.  One jewelry box","Begum Sahiba, Wife of
Mr. Shaukat Aziz, Prime Minister of Pakistan",02/06/2006,"Rs.23,000/-","23,000",,,"Rs.1,950/-",1950.00,-,,"Amount deposited, gift retained",,,
368,Wrist  Watch  (Tissot) T472S/QKo-JA-18299,"Mr. M. Iftikhar Anjum, DCP, Foreign Affairs",10/11/2007,"Rs.22,500/-","22,500",,,"Rs.1,875/-",1875.00,-,,"Amount deposited, gift retained",,,
46,One     Silver     Bowl (Decorated),"Mr.  Asif  Ali  Zardari, President              of
Pakistan",13/04/2009,"Rs.22,500/-","22,500",,,"Rs.1,875/-",1875.00,-,,"Amount deposited, gift retained",,,
40,One Watch (LOCMAN),"Mr. M. Aqeel Ashraf Rana, LDC P.M Sectt.",13/06/2008,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
59,One     Wrist      watch Locman,Mr.   Faisal   Nisar   Liaison Officer to Prime Minister,18/07/2008,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
291,Carpet,"General                 Parvez
Musharraf,   President   of Pakistan",22/11/2004,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
58,One     Wrist      watch Locman,"Wing  Cdr.  Waqar  Ahmed, DMS to Prime Minister",18/07/2008,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
61,One     Wrist      watch LOCMAN,"Capt.     Tahira     Mubarik, Lady    Nursing    Assistant
Prime Minister Sectt.",22/07/2008,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
13,Table set (marble),"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",15/01/2004,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
231,One           crystal decoration piece,"Mir  Zafarullah  Khan Jamali,           Prime
Minister of Pakistan",13/10/2003,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
17,One Carpet,"Syed    Yousaf    Raza Gillani, Prime Minister",01/04/2010,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
60,One     Wrist      watch LOCMAN,"Sqn  Ldr  Shahzad  Fatah, ADC to Prime Minister",18/07/2008,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
247,Decoration    Piece (Falcon)   (Golden Color),"Mr.            Khurshid Mahmood      Kasuri, Foreign Minister",24/10/2003,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
43,One     Wrist     Watch (LOCMAN),"Constable  M.  Amir  Khan, Gunman,   Prime   Minister",13/06/2008,"Rs.22,000/-","22,000",,,"Rs.1,800/-",1800.00,-,,"Amount deposited, gift retained",,,
277,"a.  A saree
b.  A volet set
c.  Two             chaugas (Abaas)
d.  A Neck tie
e.  Five menu stands
f.   Two Menu cards
g.  A soup set (46 pcs)
h.  Four books","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",17/05/2005,"a.  Rs.3,500/-
b.  Rs.150/-
c.  Rs.1,500/-
d.  Rs.1,500/-
e.  NCV
f.   NCV
g.  Rs.15,000/-
h.  NCV",  Rs,"3,500",,"Rs.1,748/-",1748.00,-,,"Amount deposited, gift retained",,,
317,"a.  One  wall  hanging (Chinese)
b.  One tie
c.  One  ball  pen  Mont Blanc
d.  One             Round Decoration piece","Mr.      Nawid      Ahsan, Secretary          General, Finance",11/11/2006,"a.  Rs.1,000/-
b.  Rs.400/-
c.  Rs.19,000/-
d.  Rs.1,000/-",  Rs,"1,000",,"Rs.1,710/-",1710.00,-,,"Amount deposited, gift retained",,,
415,"a.  A carpet
b.  A      wall      hanging (looking mirror)","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",30/10/2005,"a.  Rs.20,000/-
b.  Rs.1,200/-",  Rs,"20,000",,"Rs.1,680/-",1680.00,-,,"Amount deposited, gift retained",,,
218,"One   Digital   Camera
‘Cannon”             with
accessories","Mr.   Shaukat   Aziz,   Prime Minister of Pakistan",27/04/2007,"Rs.21,000/-","21,000",,,"Rs.1,650/-",1650.00,-,,"Amount deposited, gift retained",,,
16,"a.  One            Dagger (Large)
b.  Silver Necklace","Mian Mohammad Soomro, Caretaker  Prime  Minister of   Pakistan   and   Begum
Sahiba",08/02/2008,"a.  Rs.12,500/-
b.  Rs.8,500/-",  Rs,"12,500",,"Rs.1,650/-",1650.00,-,,"Amount deposited, gift retained",,,
254,"a.  One desk set
b.  One    lady’s    purse
(silver)","Mr. Shaukat Aziz, Prime Minister of Pakistan",08/08/2006,"a.  Rs.6,000/-
b.  Rs.15,000/-",  Rs,"6,000",,"Rs.1,650/-",1650.00,-,,"Amount deposited, gift retained",,,
266,One      wrist      watch (Horoswiss),"Lt.  Gen.  Hamid  Javed, Chief   of   Staff   to   the
President,",26/08/2006,"Rs.21,000/-","21,000",,,"Rs.1,650/-",1650.00,-,,"Amount deposited, gift retained",,,
163,"a.  One dagger
b.  One chimney","Mian   Abdus   Sattar Laleka,  Minister  for
Labour, Manpower & Overseas Pakistanis",26/04/2003,"a.  Rs.5,000/-
b.  Rs.16,000/-",  Rs,"5,000",,"Rs.1,650/-",1650.00,-,,"Amount deposited, gift retained",,,
238,One Carpet,"General         Parvez Musharraf, President of Pakistan",20/10/2003,"Rs.21,000/-","21,000",,,"Rs.1,650/-",1650.00,-,,"Amount deposited, gift retained",,,
341,"a.  Two          marble decoration pieces
b.  A         decoration piece (3 pcs)
c.  A            Ceramic decoration piece
d.  Replica of Horse
e.  Seven        pieces decoration set","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",28/12/2004,"a.  Rs.10,000/-
b.  Rs.1,800/-
c.  Rs.300/-
d.  Rs.1,800/-
e.  Rs.3,500/-
f.   Rs.3,500/-",  Rs,"10,000",,"Rs.1,635/-",1635.00,-,,"Amount deposited, gift retained",,,
142,One     German     Silver Candy with Bowl base,"Mian    Raza    Rabbani, Chairman Senate",05/12/2016,"Rs.18,000/-","18,000",,,"Rs.1,600/-",1600.00,-,,"Amount deposited, gift retained",,,
152,One Tea Set.,"Mr.             Mamnoon Hussain,  President  of
Pakistan",25/11/2015,"Rs.18,000/-","18,000",,,"Rs.1,600/-",1600.00,-,,"Amount deposited, gift retained",,,
26,Mobile    set    (E62) Chinese    made    K- Touch,"Mr. Farooq Habib, AVM Officer of PAF,",23/08/2013,"Rs.18,000/-","18,000",,,"Rs.1,600/-",1600.00,-,,"Amount deposited, gift retained",,,
4,One Carpet,"Mr.   Shaukat   Aziz, Prime Minister of Pakistan",09/01/2007,"RS. 20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
45,One      wrist      watch (Precious),"Mr.   Rafaqat   Hussain   TV Engineer, PTV World",17/06/2008,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
136,One     Wrist     Watch (Officina Del Tempo),"Lt.  Col.  Syed  Muhammad
Adnan,     DMS     to     the President",03/04/2007,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
196,"Ball  Pen  “Mont  Blanc”
Rollerball               Refill (Germany)","Mr.  Sikandar  Hayat  Khan
Bosan,  Minister  for  Food, Agriculture & Livestock",13/05/2005,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
223,One silver candy bowl,"General Pervez Musharaf, President of Pakistan",16/08/2005,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
291,A Ball Point Mont Blanc,"Ch.     Nouraiz     Shakoor
Khan, Minister for Science & Technology",18/05/2005,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
87,"a.  One souvenir
b.  One shield
c.  One photo Album","Dr. Arif Alvi, President of Pakistan",13/06/2022,"a.  Rs.30,000/-
b.  Rs.3,000/-
c.  NCV",  Rs,"30,000",,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
164,Books      of      Uzbek products,"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",29/09/2022,"Rs.33,000/-","33,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
38,One Carpet,"Mr.    Asif    Ali    Zardari, President of Pakistan.",21/01/2011,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
262,One    Metal    Model    of Falcon on Marble stand,"Syed Yousaf Raza Gillani, Prime       Minister       of
Pakistan",04/10/2011,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
39,"One     Wrist     Watch (Precious)
(No.F.56055)","Inspector     Shujjat     Ali Babar     Gunman,     P.M.
Sectt.",13/06/2008,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
54,One     Wrist     Watch (Precious),Syed    Ali    Adnan    Rizvi Photographer PID,08/07/2008,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
137,One     Wrist     Watch (Officina Del Tempo),"Cdr.  Amir  Saeed,  ADC  to President",03/04/2007,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
226,One     Wrist     Watch (Officina Del Tempo),"Mr.     Muhammad     Junaid Khan, UDC, President Sectt.",30/04/2007,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
411,"A  mobile  set,  Samsung SGH-D500","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",30/10/2005,"Rs.20,000/-","20,000",,,Rs.1500/-,1500.00,-,,"Amount deposited, gift retained",,,
224,"Wrist   Watch   (Rado Florence,       Golden
Chain)","Shahid       Ali       Seehar, Protocol    Officer    (V-I),
Foreign Affairs",17/09/2004,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
235,One  wrist  watch (Longines),"Mr.    Shaukat    Aziz,    Minister    for Finance",22/10/2002,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
148,"a.  One  wooden  wall hanging
b.  One          wooden souvenir
c.  One carved knife","Mr.   Ali   Haider   Altaf,   Chief   of protocol",03/09/2022,"a.  Rs.20,000/-
b.  Rs.5,000/-
c.  Rs.8,000/-",  Rs,"20,000",,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
143,One Carpet,"Syed Yousaf Raza Gillani, Prime       Minister       of Pakistan",24/05/2011,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
150,One Carpet,"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs,",29/06/2011,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
161,"One   Carpet   (160x110 centimeters)        approx (color:      Brown      and
Green)","Mr.  Sajjad  Kamran,  DG (Afghanistan)                / Additional Secretary (AP)
Ministry of Foreign Affairs",13/07/2011,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
166,"One        Brief        Case Containing: -
a. one Carpet
b. One  Shield  (A  world without Terrorism)","Mr.    Asif    Ali    Zardari, President of Pakistan.",14/07/2011,"a. Rs. 20,000/
b. NCV", Rs,"20,000",,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
80,One  Souvenir  (gold plated),"Mr. Muhammad Ahsan Raja,          Additional Secretary,  Ministry  of
Interior",30/06/2010,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
71,One Model of Animal,"Mr.  Asif  Ali  Zardari,
President              of Pakistan",29/06/2009,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
230,"a.  One Juice Set
b.  One Broach","Mr.   Shaukat   Aziz,   Prime Minister of Pakistan
Begum Sahiba",12/05/2007,"a.  Rs.15,000/-
b.  Rs.5,000/-",  Rs,"15,000",,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
157,"One      leather      bag containing: -
a.  one Notepad
b.  one  booklet  of  the Summit
c.  One     Ball     Point (Dupont)","Mr. Shaukat Aziz, Prime Minister of Pakistan",25/05/2006,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
224,One  carpet  (red  with blue flowers),"Mr.  Khurshid  M.  Kasuri, Foreign Minister",30/06/2006,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
303,One pen (Mont Blanc),"Mr. Shaukat Aziz, Prime Minister of Pakistan",29/09/2006,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
304,"a.  One crystal bowl
b.  One  crystal  flower vase","Mr. Shaukat Aziz, Prime Minister of Pakistan",29/09/2006,"a.  Rs.10,000/-
b.  Rs.10,000/-
Total:- Rs.20,000/-",  Rs,"10,000",,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
56,One carpet,"General Pervez Musharaf, President of Pakistan",05/05/2005,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
313,"A Ball Point Mont Blanc Mont Blanc NO.312 Roler Ball refill made in
Germany","Mr.  Babar  Khan  Ghauri, Federal Minister  for  Ports and Shipping",19/05/2005,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
437,A pen Mont Blanc,"Mr.     Ghulam     Sarwar, Minister   for   Labour   & Manpower",31/08/2005,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
56,One     wrist     watch Christian Dior,"Mr.      Shafkat      Saeed, Additional          Secretary (Foreign Affairs)",11/03/2004,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
141,One  Wrist  Watch Cloude Bernard,Governor Punjab,24/03/2003,"Rs.20,000/-","20,000",,,"Rs.1,500/-",1500.00,-,,"Amount deposited, gift retained",,,
187,one Perfume Sprinkler,"Mr. Shaukat Aziz, Prime Minister of Pakistan",25/05/2006,"Rs.19,925/-","19,925",,,"Rs.1,489/-",1489.00,-,,"Amount deposited, gift retained",,,
240,Sword,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",29/09/2004,"Rs.19,760/-","19,760",,,"Rs.1,464/-",1464.00,-,,"Amount deposited, gift retained",,,
156,"One    Spear    Dagger (large  size  with  silver
cover)","Mr.  Khurshid  M,  Kasuri, Foreign Minister",23/05/2006,"Rs.19,600/-","19,600",,,"Rs.1,440/-",1440.00,-,,"Amount deposited, gift retained",,,
52,One   wrist   watch RADO,Mr. Mohsin Ali,31/01/2003,Rs. 19000/-,19000,,,"Rs.1,350/-",1350.00,-,,"Amount deposited, gift retained",,,
55,"a.  One painting,
b.  One saree,","Mr. Shaukat Aziz, Prime Minister of Pakistan",21/02/2006,"a.  Rs.4,000/-
b.  Rs.2,000/-",  Rs,"4,000",,"Rs.1,350/-",1350.00,-,,"Amount deposited, gift retained",,,
45,One Dagger,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",10/03/2004,"Rs.18,875/-","18,875",,,"Rs.1,331/-",1331.00,-,,"Amount deposited, gift retained",,,
167,"a.  Brief case
b.  Perfume
c.  Wrist           watch Continental
d.  Ball point
e.  Electronic Dictionary","Mohib  Ali  Phulpoto, PS   to   Minister   for Labour  Manpower  & Overseas Pakistanis",27/04/2003,"a.  Rs.3,000/-
b.  Rs.950/-
c.  Rs.8,000/-
d.  Rs.3,500/-
e.  Rs.3,100/-",  Rs,"3,000",,"Rs.1,283/-",1283.00,-,,"Amount deposited, gift retained",,,
48,One   wrist   watch RADO,Mr.        Muhammad Younis,31/01/2003,"Rs.18,500/-","18,500",,,"Rs.1,275/-",1275.00,-,,"Amount deposited, gift retained",,,
50,One   wrist   watch RADO,"Syed  Javid  Hussain
Kazmi,   cameraman PTV news",31/01/2003,"Rs.18,500/-","18,500",,,"Rs.1,275/-",1275.00,-,,"Amount deposited, gift retained",,,
36,One   wrist   watch RADO,Mr.     Aamir     Ilyas Rana,31/01/2003,"Rs.18,500/-","18,500",,,"Rs. 1,275/-",1275.00,-,,"Amount deposited, gift retained",,,
38,One   wrist   watch RADO,Mr. Tariq Mahmood,31/01/2003,"Rs.18,500/-","18,500",,,"Rs. 1,275/-",1275.00,-,,"Amount deposited, gift retained",,,
44,One   wrist   watch RADO,Mr. Qamarullah Ch.,31/01/2003,"Rs.18,500/-","18,500",,,"Rs.1,275/-",1275.00,-,,"Amount deposited, gift retained",,,
162,One carpet,"General         Parvez Musharraf, President
of Pakistan",26/04/2003,"Rs.18,500/-","18,500",,,"Rs.1,275/-",1275.00,-,,"Amount deposited, gift retained",,,
32,One  Wrist  watch RADO,Mr. Nawaz Raza,31/01/2003,"Rs.18,000/-","18,000",,,"Rs.1,275/-",1275.00,-,,"Amount deposited, gift retained",,,
179,One carpet,"Mir  Zafarullah  Khan Jamali,           Prime Minister of Pakistan",16/05/2003,"Rs.18,500/-","18,500",,,"Rs.1,275/-",1275.00,-,,"Amount deposited, gift retained",,,
283,"a.  A brooch
b.  A scenery
c.  A shawl (lady)
d.  A suit (lady)
e.  A book “the Istana”
f.   Two gowns
g.  Jewellery box
h.  Pictorial History book
i.   One book
j.   One Painting
k.  One Pair of lions
l.   A tasbeeh","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",17/05/2005,"a.  Rs.8,000/-
b.  Rs.650/-
c.  Rs.2,000/-
d.  RS.650/-
e.  NCV
f.   Rs.2,400/-
g.  Rs.2,000/-
h.  NCV
i.   NCV
j.   Rs.500/-
k.  Rs.2,000/-
l.   Rs.200/-",  Rs,"8,000",,"Rs.1,260/-",1260.00,-,,"Amount deposited, gift retained",,,
94,"a.  One    Book    “Jane Taylor”        (Jordan Images   from   the Air)
b.  One Gold coin","Mr. Shaukat Aziz, Prime Minister of Pakistan",12/03/2006,"a.  NCV
b.  Rs.18,185/-",  NCV,,,"Rs.1,228/-",1228.00,-,,"Amount deposited, gift retained",,,
72,One    German    Silver Plate,"Mian     Raza     Rabbani, Chairman Senate",09/10/2017,"Rs.16,000/-","16,000",,,"Rs.1,200/-",1200.00,-,,"Amount deposited, gift retained",,,
61,"Quranic            Verses
Engraved   on   Walnut Wood","Mr.   Shaukat   Aziz,   Prime Minister of Pakistan",16/02/2007,"Rs.18,000/-","18,000",,,"Rs.1,200/-",1200.00,-,,"Amount deposited, gift retained",,,
155,"One       Wrist       watch
Victoria             Geneve S.No.0116","Sheikh   Rasheed   Ahmed
Minster  for  information  & Broadcasting",15/12/2005,"Rs.18,000/-","18,000",,,"Rs.1,200/-",1200.00,-,,"Amount deposited, gift retained",,,
409,One Carpet,"General Pervez Musharaf, President of Pakistan",30/11/2005,"Rs.18,000/-","18,000",,,"Rs.1,200/-",1200.00,-,,"Amount deposited, gift retained",,,
126,One     wrist     watch Officina Del Tempo,"Dr.   Asif   Irfan,   Medical
Officer,    Prime    Minister Sectt.",03/06/2004,"Rs.18,000/-","18,000",,,"Rs.1,200/-",1200.00,-,,"Amount deposited, gift retained",,,
129,One     wrist     watch Officina Del Tempo,"Inspector, Khalid Nadeem Khan, Gunman",03/06/2004,"Rs.18,000/-","18,000",,,"Rs.1,200/-",1200.00,-,,"Amount deposited, gift retained",,,
